cgpa,attendance,aptitude_score,communication_score,technical_score,projects,internships,certifications,coding_skills,soft_skills,placed
7.37,62.0,55.0,80.0,61.0,4,0,1,57.0,58.0,0
6.16,72.0,81.0,100.0,71.0,4,1,2,33.0,67.0,0
7.78,83.0,68.0,43.0,61.0,2,1,5,46.0,58.0,0
7.95,77.0,50.0,88.0,80.0,5,0,7,22.0,59.0,0
5.34,70.0,47.0,66.0,52.0,5,1,0,77.0,82.0,0
5.93,70.0,33.0,78.0,36.0,2,0,3,26.0,82.0,0
7.22,69.0,68.0,39.0,99.0,5,0,7,64.0,42.0,0
6.82,67.0,57.0,88.0,50.0,6,1,2,41.0,55.0,0
7.08,100.0,20.0,78.0,50.0,5,2,3,29.0,60.0,0
6.33,82.0,53.0,64.0,60.0,5,0,7,63.0,76.0,0
7.89,89.0,47.0,75.0,62.0,5,0,7,51.0,84.0,0
7.8,72.0,91.0,53.0,54.0,5,1,5,75.0,100.0,1
7.16,76.0,32.0,56.0,61.0,2,2,5,33.0,60.0,0
8.11,69.0,37.0,58.0,60.0,5,0,4,43.0,61.0,1
7.52,46.0,83.0,35.0,64.0,1,0,2,10.0,76.0,0
6.33,61.0,87.0,79.0,16.0,2,0,7,14.0,57.0,0
7.43,56.0,50.0,84.0,97.0,6,1,0,94.0,65.0,1
6.24,51.0,52.0,54.0,58.0,1,2,0,100.0,61.0,0
7.89,64.0,74.0,71.0,72.0,5,1,4,60.0,28.0,1
7.06,94.0,21.0,61.0,35.0,2,0,6,42.0,69.0,0
6.93,77.0,29.0,70.0,52.0,1,1,6,52.0,64.0,0
6.49,93.0,58.0,55.0,48.0,0,2,5,75.0,86.0,0
8.2,83.0,91.0,51.0,89.0,3,0,3,48.0,67.0,0
6.96,87.0,55.0,82.0,50.0,3,1,2,63.0,48.0,0
6.71,67.0,65.0,64.0,75.0,3,0,3,58.0,63.0,0
6.78,84.0,83.0,97.0,49.0,0,0,2,47.0,36.0,0
7.58,87.0,100.0,66.0,52.0,1,1,3,47.0,49.0,0
7.43,71.0,53.0,50.0,56.0,0,0,0,64.0,77.0,0
7.47,85.0,63.0,85.0,85.0,2,3,2,38.0,63.0,1
7.49,85.0,96.0,75.0,25.0,6,1,7,67.0,81.0,1
9.03,71.0,36.0,77.0,36.0,1,0,5,49.0,37.0,0
6.73,65.0,81.0,84.0,24.0,4,0,1,61.0,63.0,0
6.64,64.0,45.0,55.0,40.0,0,1,2,86.0,60.0,0
6.37,79.0,65.0,63.0,46.0,3,0,2,55.0,81.0,0
7.65,82.0,59.0,62.0,30.0,6,1,2,76.0,77.0,1
8.12,68.0,46.0,44.0,47.0,2,0,5,22.0,77.0,0
7.0,78.0,45.0,61.0,23.0,1,0,7,49.0,90.0,0
6.34,85.0,68.0,86.0,42.0,3,1,5,59.0,61.0,0
6.36,85.0,81.0,69.0,84.0,1,0,3,96.0,87.0,0
7.69,97.0,61.0,43.0,69.0,6,1,1,19.0,51.0,0
7.77,93.0,64.0,40.0,65.0,5,1,1,56.0,51.0,1
7.59,66.0,73.0,92.0,42.0,4,0,6,87.0,78.0,1
6.5,98.0,46.0,64.0,32.0,4,1,5,42.0,44.0,0
7.31,72.0,76.0,55.0,39.0,4,1,4,54.0,76.0,1
7.21,91.0,78.0,61.0,60.0,5,2,4,65.0,69.0,0
7.3,79.0,100.0,41.0,77.0,3,0,6,62.0,83.0,0
7.88,73.0,56.0,88.0,78.0,6,0,6,89.0,66.0,1
7.3,56.0,55.0,59.0,73.0,2,1,0,67.0,68.0,0
7.71,76.0,77.0,87.0,47.0,0,1,3,85.0,75.0,0
7.16,59.0,78.0,66.0,61.0,4,1,0,51.0,57.0,0
7.36,90.0,53.0,88.0,55.0,4,1,3,43.0,56.0,0
7.67,96.0,56.0,69.0,57.0,6,1,5,53.0,74.0,1
5.79,68.0,73.0,79.0,100.0,2,0,1,35.0,67.0,0
6.81,82.0,48.0,77.0,28.0,2,1,1,68.0,61.0,0
6.68,69.0,56.0,75.0,57.0,3,0,3,50.0,66.0,0
